,action,"The referee blows his whistle for the final time and brings an end to what was a really disappointing afternoon for Everton. They were carved open early on and, despite equalising through Pennington, struggled to fully recover, with Liverpool constantly causing them problems when pushing forward. Coutinho was in inspired form, whilst, at the other end of the pitch, Lukaku disappointed against a Reds back-line that was rarely tested."
,action,FULL-TIME: LIVERPOOL 3-1 EVERTON
90'+4',action,Origi wisely holds up the ball near to the corner flag over on the left wing as he tries to run down the clock. Liverpool are just seconds away from another Merseyside derby win and certainly deserve all three points after causing problems for a very average Everton side.
90'+2',action,"Baines and Mirallas link up well deep down the left flank before the latter tries to skip past Matip, but the defender is easily able to keep the Belgian at bay before poking the ball out for a throw-in near to the corner flag."
90',substitution,"Substitution sub-out Roberto Firmino Barbosa de Oliveira sub-in Ragnar Klavan . Liverpool have made their third and final change, with sub-in Ragnar Klavan coming on to replace Firmino."
90',action,The fourth official has indicated that there will be four minutes of added time.
88',action,"Lukaku picks up the ball once again, this time just outside of the box, before trying to tee up Valencia over at the far post, but his deep cross is overhit and sails past the Ecuadorian before flying out for a goal-kick."
86',action,"Baines lifts a lovely cross into the heart of the Liverpool penalty that finds Lukaku. The striker hasn't been presented with many chances today but does well to get his head on the ball. However, he's penalised for a push on Lovren and the move comes to nothing."
84',action,"Another chance for Alexander-Arnold! Liverpool patiently move the ball around deep inside the Everton half of the pitch before the youngster unleashes a shot from the edge of the penalty area, but it's sent straight at Robles and is well saved by the Spaniard."
82',substitution,"Substitution sub-out Dominic Calvert-Lewin sub-in Kevin Mirallas . Everton have made their third and final alteration, with Calvert-Lewin making way for sub-in Kevin Mirallas."
81',action,"Lovely cross by Nathaniel Clyne! The full-back charges down the right flank on a wonderful run before curling an even better ball into the middle of the box, where Robles is just about able to get a hand on the cross before it can find Origi in front of goal."
79',action,"Holgate gets himself into a good position midway down the right wing and quickly chips a dangerous cross into the heart of the Liverpool penalty area. Calvert-Lewin rises high as he tries to meet the ball, but, despite his best efforts, he's unable to and it ends up flying over to the opposite flank."
77',action,"Alexander-Arnold almost makes it 4-1! Barry is caught out by Can over on the right wing, allowing the German to break down the right flank before teeing up Alexander-Arnold. The youngster is in a great position inside the box and quickly shoots, but his chipped effort is parried away by the outstretched limbs of Robles."
75',action,"Origi picks up the ball in a pocket of space just outside of the Everton penalty area and quickly tries to shoot, but he's unable to sort out his feet quickly enough and loses out to Gueye."
74',substitution,Substitution sub-out Philippe Coutinho Correia sub-in Trent Arnold . Coutinho receives a rousing round of applause from the Liverpool fans as he's replaced by Trent Alexander-Arnold in Liverpool's second change of the afternoon.
72',action,"Holgate picks up the ball over on the right wing once again before curling a cross on to the outstretched arm of Milner, resulting in a free-kick for Everton in a good position. Baines steps up and curls a cross towards the near post, where it's easily cleared by Matip."
